Name,Age,Nationality,Potential,Club,Value,Wage,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Loaned From,Height,Weight,Release Clause
M. Chanot,32,Luxembourg,72,New York City FC,1500000.0,6000.0,1.0,3.0,2.0,Medium/ High,Normal,SUB,Permanent,186,84,2300000.0
21 K. Sieracki,19,Poland,65,Podbeskidzie Bielsko-Biała,275000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,178,73,426000.0
J. Silva,21,Chile,64,Unión Española,325000.0,750.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,166,68,504000.0
J. Giurgi,20,Republic of Ireland,63,Shelbourne FC,230000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,176,64,403000.0
22 J. Albert,29,France,61,Clermont Foot 63,275000.0,3000.0,1.0,3.0,2.0,Low/ High,Normal,SUB,Permanent,185,86,550000.0
P. Herrmann,31,Germany,73,Borussia Mönchengladbach,2500000.0,22000.0,2.0,3.0,3.0,Medium/ High,Lean,SUB,Permanent,179,71,4300000.0
21 H. Danielsson,20,Sweden,62,Varbergs BoIS FC,110000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,170,69,160000.0
A. Ademi,31,North Macedonia,74,Dinamo Zagreb,3500000.0,950.0,1.0,3.0,3.0,High/ High,Normal,LCM,Permanent,185,79,7700000.0
A. Silipo,21,Italy,76,Palermo,2300000.0,2000.0,1.0,2.0,4.0,High/ Medium,Normal,SUB,Permanent,170,72,4000000.0
22 J. Simms,17,England,66,Oldham Athletic,180000.0,500.0,1.0,2.0,2.0,Medium/ Low,Lean,RES,Permanent,188,78,428000.0
22 L. Griebsch,17,Germany,73,Hallescher FC,450000.0,500.0,1.0,2.0,2.0,Medium/ High,Normal,RES,Permanent,179,75,934000.0
22 L. Gueho,17,France,76,Paris FC,375000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,187,82,891000.0
22 S. Shopov,19,Bulgaria,75,SC Heerenveen,950000.0,1000.0,1.0,3.0,3.0,High/ Medium,Normal,SUB,Permanent,178,68,2000000.0
21 W. Delvin,19,Denmark,62,Lyngby BK,130000.0,1000.0,1.0,2.0,2.0,High/ Medium,Lean,RES,Permanent,165,55,189000.0
22 G. Sigurðsson,31,Iceland,79,Everton,14500000.0,83000.0,3.0,4.0,3.0,Medium/ Medium,Normal,RES,Permanent,186,77,27600000.0
21 C. Engelhart,20,Mexico,69,Deportivo Toluca,400000.0,3000.0,1.0,3.0,2.0,High/ Low,Lean,RES,Permanent,176,70,760000.0
Arnau Comas,22,Spain,74,FC Basel 1893,1800000.0,5000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,191,83,3100000.0
Iker Bravo,17,Spain,83,Bayer 04 Leverkusen,1500000.0,2000.0,1.0,4.0,3.0,High/ Medium,Normal,RES,Permanent,182,75,3500000.0
J. Taylor,24,Republic of Ireland,73,Peterborough United,1800000.0,5000.0,1.0,4.0,3.0,Medium/ Medium,Lean,LCM,Permanent,185,70,3300000.0
22 A. Hruška,35,Czech Republic,71,FC Viktoria Plzeň,210000.0,500.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,193,90,462000.0
H. Mkhitaryan,33,Armenia,81,Inter,16000000.0,74000.0,3.0,5.0,4.0,High/ Low,Normal,SUB,Permanent,177,75,26400000.0
J. Mellot,28,France,72,CD Tenerife,2100000.0,8000.0,1.0,3.0,3.0,High/ Medium,Normal,RB,Permanent,178,77,3400000.0
T. Nianzou,20,France,85,FC Bayern München,7000000.0,26000.0,1.0,3.0,2.0,Low/ High,Normal,SUB,Permanent,191,85,13000000.0
S. Sessegnon,22,England,77,Charlton Athletic,1800000.0,12000.0,1.0,4.0,2.0,High/ Medium,Lean,LB,"<a href=""/team/144/fulham/"">Fulham</a>",174,68,0.0
W. Balikwisha,23,Congo DR,69,Standard de Liège,875000.0,3000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,173,67,1400000.0
M. Bakker,22,Netherlands,81,Bayer 04 Leverkusen,8500000.0,33000.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,185,85,16200000.0
22 R. Castillo,20,Mexico,66,Puebla FC,275000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,174,71,523000.0
T. Coman,20,Romania,65,CS Mioveni,230000.0,800.0,1.0,2.0,2.0,Medium/ Low,Lean,RES,Permanent,182,73,357000.0
E. Poku,18,Netherlands,83,AZ Alkmaar,1300000.0,1000.0,1.0,4.0,3.0,High/ Medium,Normal,SUB,Permanent,173,63,3300000.0
M. Foulds,24,England,65,Bradford City,425000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,178,75,776000.0
21 D. Bagarić,27,Croatia,60,AFC Hermannstadt,275000.0,2000.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,193,89,371000.0
V. Lytvynenko,30,Ukraine,59,Widzew Łódź,150000.0,850.0,1.0,2.0,1.0,Medium/ Medium,Lean,SUB,Permanent,190,87,214000.0
22 B. Pierrick,19,England,70,Vejle Boldklub,475000.0,1000.0,1.0,2.0,3.0,Medium/ Medium,Normal,SUB,Permanent,183,71,689000.0
M. Almirón,28,Paraguay,78,Newcastle United,14000000.0,84000.0,1.0,2.0,4.0,High/ High,Lean,RW,Permanent,174,70,26600000.0
A. Dante,21,Mali,78,SK Sturm Graz,3000000.0,7000.0,1.0,3.0,2.0,Medium/ Medium,Lean,LB,Permanent,179,70,5100000.0
E. Mihaj,23,Albania,74,PAOK,1900000.0,500.0,1.0,2.0,2.0,Low/ Medium,Normal,LCB,Permanent,186,78,4600000.0
21 C. Odunze,17,United States,74,Leicester City,325000.0,500.0,1.0,2.0,1.0,Medium/ Medium,Normal,RES,Permanent,200,92,821000.0
21 Y. Takazawa,23,Japan,70,Oita Trinita,1200000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Stocky,SUB,Permanent,181,75,1600000.0
I. Khan,27,India,55,NorthEast United FC,130000.0,500.0,1.0,3.0,2.0,High/ Medium,Normal,CAM,Permanent,170,62,176000.0
M. Caldara,28,Italy,75,Spezia,4800000.0,47000.0,2.0,3.0,2.0,Medium/ High,Normal,RCB,"<a href=""/team/47/ac-milan/"">AC Milan</a>",187,80,0.0
D. Heuer Fernandes,29,Portugal,73,Hamburger SV,2100000.0,10000.0,1.0,4.0,1.0,Medium/ Medium,Normal,GK,Permanent,188,81,3400000.0
D. Kinsombi,26,Germany,70,SV Sandhausen,1600000.0,5000.0,1.0,3.0,3.0,High/ Medium,Normal,LM,Permanent,183,74,2700000.0
A. Preciado,25,Ecuador,72,Barcelona Sporting Club,1800000.0,600.0,1.0,3.0,3.0,Medium/ Medium,Lean,SUB,Permanent,175,72,4099999.9999999995
B. Leno,30,Germany,80,Fulham,14000000.0,50000.0,3.0,3.0,1.0,Medium/ Medium,Lean,SUB,Permanent,190,83,26600000.0
F. Carabalí,26,Ecuador,67,Mushuc Runa,800000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Stocky,RB,Permanent,180,83,1800000.0
22 J. Rodríguez,19,Mexico,74,Deportivo Toluca,1200000.0,2000.0,1.0,3.0,3.0,Medium/ Medium,Normal,LB,Permanent,179,62,2300000.0
22 I. Vidaurre,34,Bolivia,64,Club Atlético Palmaflor,210000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,CDM,Permanent,176,72,452000.0
B. Cooper,22,Wales,74,Swansea City,1000000.0,5000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,185,84,2100000.0
A. Al Nashri,20,Saudi Arabia,71,Al Ittihad,325000.0,3000.0,1.0,3.0,2.0,Low/ Medium,Normal,SUB,Permanent,175,69,756000.0
21 S. Stasik,21,Poland,65,PGE FKS Stal Mielec,525000.0,650.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,172,70,748000.0
A. Oroz,19,Chile,76,Colo-Colo,1400000.0,1000.0,1.0,3.0,3.0,High/ Medium,Normal,RW,Permanent,171,64,2200000.0
K. Kaissis,25,Germany,64,VfB Oldenburg,575000.0,550.0,1.0,3.0,3.0,Medium/ Medium,Normal,RES,Permanent,170,65,877000.0
22 W. Lugo,24,Venezuela,69,Academia Puerto Cabello,800000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,RCM,Permanent,174,68,1800000.0
22 T. Tamukai,29,Japan,63,Tokushima Vortis,425000.0,1000.0,1.0,4.0,2.0,High/ Medium,Normal,LB,Permanent,175,69,531000.0
A. Elanga,20,Sweden,85,Manchester United,9500000.0,63000.0,1.0,3.0,3.0,High/ High,Lean,RW,Permanent,178,75,20000000.0
L. Ortíz,22,Ecuador,72,Independiente del Valle,850000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,182,75,2000000.0
C. Windust,21,Australia,63,Central Coast Mariners,230000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,183,75,334000.0
J. Izquierdo,24,Uruguay,68,Club Nacional de Football,875000.0,500.0,1.0,3.0,2.0,Low/ Low,Lean,RES,Permanent,187,80,2000000.0
A. Despa,20,Romania,66,Rapid București,275000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Normal,RES,Permanent,181,71,426000.0
R. Johnson,25,Northern Ireland,61,Stockport County,250000.0,2000.0,1.0,2.0,2.0,High/ Medium,Normal,SUB,Permanent,188,85,456000.0
Eom Seung Min,19,Korea Republic,71,Seongnam FC,240000.0,1000.0,1.0,3.0,3.0,Medium/ Low,Normal,SUB,"<a href=""/team/1477/jeonbuk-hyundai-motors/"">Jeonbuk Hyundai Motors</a>",181,70,0.0
22 J. Gorman,18,Australia,65,Perth Glory,140000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,178,73,263000.0
21 Arnedo,24,Spain,70,UD Logroñés,950000.0,2000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,178,69,1700000.0
22 M. Lukov,27,Bulgaria,66,Al Tai,600000.0,4000.0,1.0,3.0,1.0,Medium/ Medium,Normal,GK,Permanent,188,83,1000000.0
A. Knockaert,30,France,69,Fulham,1300000.0,24000.0,1.0,3.0,4.0,High/ Medium,Normal,RES,Permanent,172,69,2500000.0
B. Beganović,17,Bosnia and Herzegovina,70,SV Ried,230000.0,500.0,1.0,3.0,2.0,Medium/ Low,Lean,RES,Permanent,183,71,477000.0
A. Aydın,22,Turkey,66,İstanbulspor,400000.0,2000.0,1.0,2.0,2.0,High/ Medium,Normal,SUB,Permanent,183,77,860000.0
H. Morita,27,Japan,77,Sporting CP,8500000.0,14000.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,177,69,17600000.0
M. Viti,20,Italy,83,OGC Nice,4200000.0,16000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,190,82,8800000.0
N. Schmidt,24,Germany,73,SV Werder Bremen,1800000.0,9000.0,1.0,3.0,3.0,Low/ Low,Normal,RES,Permanent,184,84,3400000.0
Carlos Romero,20,Spain,68,Villarreal Club de Fútbol B,525000.0,900.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,180,70,919000.0
R. Cancino,22,Chile,69,Unión La Calera,450000.0,500.0,1.0,3.0,1.0,Medium/ Medium,Normal,SUB,Permanent,183,82,698000.0
Arnau Tenas,21,Spain,81,FC Barcelona,2200000.0,16000.0,1.0,2.0,1.0,Medium/ Medium,Normal,RES,Permanent,185,85,5900000.0
Felipe,33,Brazil,81,Atlético de Madrid,12500000.0,57000.0,3.0,3.0,2.0,Low/ High,Normal,SUB,Permanent,190,83,25600000.0
22 M. Hlavatý,22,Czech Republic,70,FC Viktoria Plzeň,975000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,170,64,2300000.0
A. Jones,24,England,74,Hull City,1800000.0,4000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RCB,Permanent,188,70,3800000.0
A. Boutoutaou,21,France,75,Valenciennes FC,1300000.0,1000.0,1.0,2.0,3.0,Medium/ Medium,Lean,CAM,Permanent,169,56,2500000.0
20 M. Havenaar,32,Japan,67,Vissel Kobe,600000.0,4000.0,2.0,3.0,2.0,Medium/ Low,Lean,SUB,Permanent,195,92,780000.0
J. Dina Ebimbe,21,France,78,Paris Saint-Germain,3800000.0,29000.0,1.0,3.0,3.0,Medium/ Medium,Normal,RES,Permanent,183,81,7800000.0
22 D. Kuzyaev,28,Russia,76,Unknown,0.0,0.0,1.0,3.0,3.0,Medium/ High,Lean,RCM,Permanent,182,74,0.0
Nuno Borges,34,Cape Verde Islands,67,Casa Pia,350000.0,2000.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,184,77,718000.0
D. Theodorou,24,Cyprus,70,APOEL Nicosia FC,1100000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RM,Permanent,175,69,2400000.0
C. Archer,20,England,79,Aston Villa,3500000.0,30000.0,1.0,4.0,2.0,High/ Low,Normal,SUB,Permanent,179,74,7400000.0
V. Oliver,30,England,64,Bradford City,575000.0,5000.0,1.0,2.0,2.0,Medium/ Low,Normal,RS,Permanent,188,78,1000000.0
20 B. Garmston,25,Republic of Ireland,63,Grimsby Town,275000.0,2000.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,183,84,502000.0
22 A. Ale,26,Uruguay,71,Club Olimpia,1100000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,192,92,2500000.0
22 Y. Soteldo,24,Venezuela,80,Tigres U.A.N.L.,11000000.0,37000.0,2.0,5.0,4.0,High/ Medium,Stocky,LM,Permanent,158,55,18400000.0
22 Choi Ki Yoon,19,Korea Republic,63,Ulsan Hyundai FC,110000.0,900.0,1.0,3.0,3.0,Medium/ Medium,Normal,RES,Permanent,175,70,212000.0
Francés,19,Spain,80,Real Zaragoza,3800000.0,4000.0,1.0,4.0,2.0,Medium/ High,Lean,RCB,Permanent,180,70,6800000.0
K. Craig,19,England,63,Shrewsbury Town,130000.0,850.0,1.0,3.0,2.0,High/ Medium,Lean,SUB,Permanent,183,79,254000.0
C. Dunkley,30,England,66,Shrewsbury Town,700000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Normal,CB,Permanent,188,85,1200000.0
22 Felippe Cardoso,22,Brazil,74,Vegalta Sendai,2100000.0,2000.0,1.0,4.0,2.0,High/ Medium,Normal,RS,Permanent,186,87,3000000.0
22 Ren Lihao,20,China PR,62,Shanghai Port FC,130000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,182,77,228000.0
P. Flores,20,Chile,68,Unión La Calera,450000.0,550.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,175,70,698000.0
22 L. Pye,17,England,76,Manchester United,550000.0,600.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,178,72,1400000.0
N. Lang,23,Netherlands,85,Club Brugge KV,28000000.0,27000.0,1.0,3.0,4.0,High/ Medium,Lean,LS,Permanent,179,69,44800000.0
Iker Álvarez,20,Andorra,72,Villarreal Club de Fútbol B,625000.0,700.0,1.0,3.0,1.0,Medium/ Medium,Normal,SUB,Permanent,190,78,1100000.0
J. Andersson,25,Sweden,76,FC Midtjylland,3700000.0,19000.0,1.0,4.0,3.0,High/ High,Lean,RWB,Permanent,178,68,5100000.0
W. Evans,25,Wales,59,Newport County,150000.0,2000.0,1.0,2.0,2.0,High/ Medium,Normal,LWB,Permanent,185,82,274000.0
L. Quiñonez,29,Ecuador,69,Barcelona Sporting Club,1200000.0,600.0,1.0,2.0,2.0,High/ Medium,Lean,LB,Permanent,180,76,2600000.0
22 K. Dagriri,19,Saudi Arabia,71,Al Faisaly,275000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,173,60,626000.0
Laure Santeiro,22,Brazil,80,Fluminense,25000000.0,27000.0,1.0,5.0,4.0,Medium/ Medium,Lean,CAM,Permanent,171,63,47500000.0
Julen Jon,18,Spain,82,Real Madrid CF,1000000.0,7000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,186,69,3100000.0
S. Nwabuokei,26,England,60,Barrow,250000.0,2000.0,1.0,3.0,2.0,High/ High,Stocky,RES,Permanent,190,83,456000.0
T. Jenks,20,England,75,Crawley Town,525000.0,7000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,"<a href=""/team/1808/brighton-hove-albion/"">Brighton &amp; Hove Albion</a>",192,82,0.0
D. Núñez,23,Uruguay,89,Liverpool,61500000.0,120000.0,1.0,3.0,3.0,High/ High,Lean,ST,Permanent,186,80,126100000.0
Vágner Corraldo,22,Brazil,73,Club Athletico Paranaense,3300000.0,10000.0,1.0,3.0,3.0,Medium/ Medium,Normal,LM,Permanent,175,70,6300000.0
22 C. Kouyaté,31,Senegal,77,Crystal Palace,7500000.0,48000.0,2.0,3.0,3.0,High/ High,Lean,CDM,Permanent,189,83,14300000.0
22 L. Loughlan,19,England,64,Salford City,200000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,175,68,390000.0
M. Cuero,29,Colombia,72,Club Atlético Banfield,2300000.0,12000.0,1.0,3.0,3.0,Medium/ Medium,Stocky,SUB,Permanent,178,83,3500000.0
S. Camara,19,Switzerland,70,Servette FC,240000.0,2000.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,178,65,498000.0
13 W. Sonck,33,Belgium,65,Waasland-Beveren,240000.0,2000.0,2.0,4.0,2.0,Medium/ Low,Stocky,ST,Permanent,175,76,0.0
22 J. Giddings,19,England,71,Crystal Palace,500000.0,4000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,177,75,1100000.0
22 Choe Seong Min,18,Korea Republic,67,Gangwon FC,150000.0,600.0,1.0,3.0,2.0,High/ Medium,Normal,RES,Permanent,182,78,281000.0
22 M. Silvera,23,Uruguay,73,Fútbol Club Juárez,1700000.0,3000.0,1.0,3.0,2.0,High/ Low,Normal,LS,Permanent,176,68,3200000.0
N. Maksimović,27,Serbia,80,Getafe CF,20000000.0,33000.0,1.0,3.0,3.0,High/ High,Normal,RDM,Permanent,189,78,43500000.0
22 N. Fernández,18,Uruguay,64,Club Atlético Rentistas,200000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Lean,SUB,Permanent,173,65,470000.0
22 T. Vecchio,18,Australia,65,Perth Glory,140000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,177,70,263000.0
S. Oukhadda,23,Morocco,65,Modena,325000.0,600.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,187,80,569000.0
22 H. McGee,17,England,69,Wigan Athletic,150000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,175,70,356000.0
J. Karadogan,18,Wales,63,Newport County,170000.0,850.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,177,80,332000.0
J. Wind,23,Denmark,82,VfL Wolfsburg,12000000.0,38000.0,1.0,3.0,3.0,High/ Medium,Normal,SUB,Permanent,190,82,22800000.0
21 M. Nzongong,19,Republic of Ireland,63,Waterford FC,170000.0,500.0,1.0,2.0,2.0,Medium/ Medium,Normal,SUB,Permanent,179,74,298000.0
Rafinha,29,Brazil,78,Paris Saint-Germain,13500000.0,74000.0,2.0,4.0,4.0,High/ Medium,Normal,RES,Permanent,174,71,25000000.0
22 Huang Zhenfei,22,China PR,52,Shanghai Port FC,70000.0,3000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,183,75,114000.0
B. Böckle,20,Austria,68,Fortuna Düsseldorf,575000.0,3000.0,1.0,3.0,2.0,High/ Medium,Normal,SUB,Permanent,185,77,1000000.0
J. Bree,24,England,75,Luton Town,2500000.0,17000.0,1.0,3.0,2.0,High/ Medium,Normal,RWB,Permanent,178,74,4900000.0
E. Aguilar,30,Costa Rica,71,Incheon United FC,1800000.0,5000.0,1.0,1.0,4.0,High/ Medium,Stocky,RW,Permanent,174,75,2300000.0
21 G. Viera,33,Uruguay,65,Club Atlético River Plate,350000.0,500.0,1.0,2.0,2.0,Medium/ High,Normal,LCB,Permanent,183,80,753000.0
Ž. Celar,23,Slovenia,75,FC Lugano,2300000.0,4000.0,1.0,2.0,3.0,Medium/ Medium,Normal,ST,Permanent,186,82,3800000.0
22 N. Nikolić,20,Bosnia and Herzegovina,75,Olympiacos CFP,750000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,180,75,2000000.0
Pedro Díaz,24,Spain,79,Real Sporting de Gijón,3300000.0,5000.0,1.0,4.0,3.0,High/ High,Normal,RCM,Permanent,180,78,5900000.0
Y. Ngbakoto,30,Congo DR,68,Western Sydney Wanderers,1200000.0,5000.0,1.0,3.0,3.0,High/ Medium,Normal,RM,Permanent,173,69,1500000.0
22 J. Zevallos,22,Peru,69,Club Universitario de Deportes,725000.0,500.0,1.0,2.0,2.0,Medium/ High,Lean,SUB,Permanent,175,69,1700000.0
Sergio Busquets,33,Spain,85,FC Barcelona,26500000.0,190000.0,4.0,3.0,3.0,Medium/ Medium,Lean,CDM,Permanent,189,76,54300000.0
21 D. Dumitrescu,22,Romania,66,FC Viitorul Constanța,275000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,189,82,202000.0
F. Mater,23,Argentina,73,Barracas Central,1800000.0,5000.0,1.0,3.0,3.0,Medium/ Medium,Stocky,SUB,"<a href=""/team/111019/argentinos-juniors/"">Argentinos Juniors</a>",164,64,0.0
22 A. Hrosu,20,Ukraine,64,Górnik Zabrze,240000.0,950.0,1.0,3.0,3.0,High/ High,Lean,SUB,Permanent,175,65,372000.0
22 E. Christopoulos,20,Greece,70,AEK Athens,500000.0,500.0,1.0,2.0,2.0,Medium/ Low,Lean,RES,Permanent,181,76,1200000.0
21 B. León,25,Peru,61,Club Atlético Grau,240000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,SUB,Permanent,180,75,534000.0
B. Gutiérrez,19,United States,78,Chicago Fire Football Club,575000.0,800.0,1.0,4.0,2.0,Medium/ Medium,Lean,SUB,Permanent,178,64,1200000.0
21 Yago Gomes,18,Brazil,70,FC Vaduz,275000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Normal,SUB,Permanent,179,67,571000.0
I. Cristea,27,Romania,72,FCSB (Steaua),1700000.0,9000.0,1.0,3.0,2.0,Medium/ High,Normal,RES,Permanent,184,77,2400000.0
J. Boyamba,25,Germany,68,TSV 1860 München,1200000.0,2000.0,1.0,3.0,3.0,Medium/ Medium,Lean,SUB,Permanent,172,66,1800000.0
22 G. Pellegrino,17,Canada,68,SC Freiburg II,210000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Lean,RES,Permanent,180,70,436000.0
21 S. Čolović,26,Serbia,60,Dundalk FC,275000.0,700.0,1.0,3.0,3.0,High/ Medium,Lean,RM,Permanent,175,68,447000.0
22 J. Moore,17,England,67,Blackpool,170000.0,500.0,1.0,3.0,2.0,High/ Medium,Lean,RES,Permanent,178,70,421000.0
R. Popa,19,Romania,77,FC U Craiova 1948,1200000.0,1000.0,1.0,2.0,1.0,Medium/ Medium,Normal,GK,Permanent,190,83,2400000.0
21 Lombraña,20,Spain,68,CD Mirandés,475000.0,1000.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,173,70,831000.0
22 A. Jourda,19,France,66,SC Bastia,325000.0,500.0,1.0,3.0,2.0,Medium/ Medium,Stocky,SUB,Permanent,180,80,634000.0
21 A. González,28,Paraguay,64,Club Nacional,525000.0,500.0,1.0,3.0,2.0,Medium/ High,Normal,SUB,Permanent,175,76,1100000.0
A. Prass,21,Austria,77,SK Sturm Graz,2700000.0,7000.0,1.0,3.0,2.0,Medium/ Medium,Normal,LCM,Permanent,180,72,4600000.0
21 N. Giménez,22,Paraguay,69,Club Nacional,700000.0,500.0,1.0,3.0,2.0,Medium/ High,Normal,SUB,Permanent,174,72,1600000.0
T. Bašić,25,Croatia,80,Lazio,8000000.0,38000.0,1.0,3.0,3.0,High/ Medium,Normal,SUB,Permanent,190,82,14200000.0
J. Tagueu,28,Cameroon,72,Clube Sport Marítimo,2400000.0,10000.0,1.0,3.0,3.0,Medium/ Medium,Normal,ST,Permanent,178,70,5000000.0
P. Vaca,20,Bolivia,76,Club Always Ready,1100000.0,500.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,181,77,3100000.0
R. Del Castillo,26,France,74,Stade Brestois 29,3600000.0,19000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,172,65,7500000.0
S. Adingra,20,Côte d'Ivoire,80,Royale Union Saint-Gilloise,2500000.0,14000.0,1.0,3.0,3.0,High/ Medium,Lean,LS,"<a href=""/team/1808/brighton-hove-albion/"">Brighton &amp; Hove Albion</a>",175,65,0.0
J. Forster-Caskey,28,England,67,Charlton Athletic,1000000.0,5000.0,1.0,2.0,3.0,High/ Medium,Normal,SUB,Permanent,178,64,1800000.0
V. Barretto,22,India,64,Chennaiyin FC,240000.0,500.0,1.0,3.0,2.0,High/ Medium,Lean,LM,Permanent,170,57,372000.0
22 K. Cooke,18,Republic of Ireland,61,Waterford FC,110000.0,500.0,1.0,2.0,1.0,Medium/ Medium,Normal,SUB,Permanent,189,69,193000.0
J. Malatini,21,Argentina,74,Club Atlético Talleres,2000000.0,4000.0,1.0,3.0,2.0,High/ Medium,Lean,SUB,Permanent,175,63,3400000.0
T. Dolan,20,England,81,Blackburn Rovers,3500000.0,19000.0,1.0,3.0,4.0,High/ Medium,Lean,SUB,Permanent,164,63,7400000.0
22 M. Camara,24,Guinea,80,Olympiacos CFP,8500000.0,1000.0,1.0,3.0,4.0,Medium/ Medium,Normal,SUB,Permanent,182,75,18500000.0
L. Majer,24,Croatia,85,Stade Rennais FC,31500000.0,47000.0,1.0,3.0,4.0,High/ Medium,Lean,LCM,Permanent,179,75,62200000.0
H. Sakhi,26,Morocco,74,AJ Auxerre,2400000.0,12000.0,1.0,3.0,4.0,High/ Low,Lean,LCM,Permanent,176,72,5000000.0
22 J. Acevedo,23,Venezuela,70,Metropolitanos de Caracas FC,1600000.0,500.0,1.0,3.0,2.0,Medium/ Low,Stocky,SUB,Permanent,177,80,3600000.0
Moreto Cassamá,24,Guinea Bissau,78,Stade de Reims,3500000.0,12000.0,1.0,3.0,3.0,Medium/ Medium,Normal,SUB,Permanent,165,63,7700000.0
Z. Sertdemir,17,Denmark,83,Bayer 04 Leverkusen,1200000.0,1000.0,1.0,3.0,3.0,Medium/ Medium,Normal,RES,Permanent,182,71,3200000.0
16 Willian,28,Brazil,77,Cruzeiro,7000000.0,80000.0,1.0,3.0,3.0,High/ Medium,Normal,ST,Permanent,171,78,0.0
22 K. Takai,16,Japan,72,Kawasaki Frontale,250000.0,500.0,1.0,3.0,2.0,Low/ Medium,Lean,RES,Permanent,192,84,481000.0
22 B. Mæland,20,Norway,65,Odds BK,250000.0,600.0,1.0,2.0,2.0,Medium/ Medium,Lean,RES,Permanent,184,75,363000.0
Carlos Kevin,21,Spain,73,SD Huesca,600000.0,1000.0,1.0,2.0,2.0,Medium/ Medium,Stocky,RES,Permanent,185,84,1300000.0
M. Thuram,24,France,83,Borussia Mönchengladbach,21500000.0,29000.0,2.0,3.0,3.0,Medium/ Medium,Stocky,ST,Permanent,192,90,38200000.0
S. Kvia-Egeskog,19,Norway,73,Viking FK,325000.0,550.0,1.0,3.0,2.0,Medium/ Medium,Normal,RES,Permanent,176,73,609000.0
